M3,-7,C(=C(\S(=O)(=O)OCc1ccccc1)C#N)/C=C(/c1ccccc1)C#N
M4,-8.4,C(=C(S(=O)(=O)O[C@@](c1ccccc1)(C(=O)c1ccc(C(=C=O)F)cc1)F)F)=O
M5,-6,C(=C\S(=O)(=O)OCc1ccccc1)/Cc1ccc(C=C)cc1
M6,-7,C=CS(=O)(=O)OCc1ccc(cc1)C(C(c1ccc(C=C(F)F)cc1)(F)F)(F)F
M7,-8.2,C(=C(S(=O)(=O)OC(=O)c1ccccc1)C(=O)C(=O)C(=C(F)F)c1ccccc1)(F)F
M8,-8.3,C(=C(\S(=O)(=O)OC(=O)c1ccc(cc1)C#N)/F)(/C(=C(/c1ccccc1)\F)/F)\F
M9,-7.6,C(=C(S(=O)(=O)OC(=O)c1ccc(cc1)Cc1ccc(C=C(F)F)cc1)F)=O
M10,-8.7,C(=C\S(=O)(=O)OCc1ccccc1)C(c1ccc(C=C(F)F)cc1)(F)F
N1,-7.1,C(=C(\S(=O)(=O)OC(=O)c1ccccc1)/F)(/c1cncnc1)\F
N2,-7,C=C(S(=O)(=O)OCc1ccccc1)c1ncccn1
N3,-7.1,c1cnc(nc1)c1ccc(COS(=O)(=O)C=C)cc1
N4,-7.6,c1(cncnc1)/C(=C(\S(=O)(=O)OCc1ccc(cc1)C#N)/F)/F
N5,-6.8,c1(cnc(nc1)/C=C/S(=O)(=O)O[C@@H](c1ccccc1)C(=O)F)F
N6,-7.3,C(=C(S(=O)(=O)O[C@](c1ccc(cc1)C#N)(C=O)F)c1ncccn1)=S
N7,-6.1,c1cnc(nc1)c1ccc(c(COS(=O)(=O)C=C=S)c1)C#N
N8,-8.3,c1(cnc(nc1)CC(=C=O)S(=O)(=O)OCc1ccc(cc1)C(F)(F)F)F
N9,-8.2,c1cnc(nc1)C(=O)/C=C/S(=O)(=O)OCc1cc(cc(c1)C#N)C#N
N10,-7.7,c1cnc(nc1)c1cc(c(COS(=O)(=O)/C=C(/C#N)\F)c(c1)F)F
O1,-6.9,[H]N1CC(=C2C=CC=CC2O1)S(=O)(OC1=CC=CC=C1)C=C
O2,-4,[H]N1CC=C2C(O1)C=CCC2=S(=O)(OC1=CC=CC=C1)C=C
O3,-7.2,[H]N1CCC2C(CCC3=S(=O)(C=C)C23C2=CC=CC=C2)O1
O4,-8.2,[H]N1CC=C2C=C3C=CC(OS(=O)(=O)C=C)=CC3=CC2O1
